Labirinto 1
###############
#---##------###
#------###---##
###-----#-----#
#I------###--##
###----------##
#F-----####--##
#---#---------#
#------####---#
###############
Solução do Labirinto 1
############### 
#---##------### 
#------###---## 
###-----#-----# 
#Ioo----###--## 
###o---------## 
#ooo---####--## 
#---#---------# 
#------####---# 
############### 
Geração : 98	Fitness : -101.04	Fitness Melhor : 1000	
Geração : 99	Fitness : -560.93	Fitness Melhor : 1000	
Geração : 100	Fitness : -93.47	Fitness Melhor : 1000	
Geração : 101	Fitness : -349.44	Fitness Melhor : 1000	
Geração : 102	Fitness : -204.29	Fitness Melhor : 1000	
Geração : 103	Fitness : -185.77	Fitness Melhor : 1000	
Geração : 104	Fitness : -276.9	Fitness Melhor : 1000	
Geração : 105	Fitness : -475.07	Fitness Melhor : 1000	
Geração : 106	Fitness : -495.34	Fitness Melhor : 1000	
Geração : 107	Fitness : -513.64	Fitness Melhor : 1000	
Geração : 108	Fitness : -129.99	Fitness Melhor : 1000	
Geração : 109	Fitness : -410.46	Fitness Melhor : 1000	
Geração : 110	Fitness : -275.6	Fitness Melhor : 1000	
Geração : 111	Fitness : -466.62	Fitness Melhor : 1000	
Geração : 112	Fitness : -477.5	Fitness Melhor : 1000	
Geração : 113	Fitness : -216.14	Fitness Melhor : 1000	
Geração : 114	Fitness : -477.8	Fitness Melhor : 1000	
Geração : 115	Fitness : -418.62	Fitness Melhor : 1000	
Geração : 116	Fitness : -347.45	Fitness Melhor : 1000	
Geração : 117	Fitness : -745.81	Fitness Melhor : 1000	
Geração : 118	Fitness : -699.06	Fitness Melhor : 1000	
Geração : 119	Fitness : -144.7	Fitness Melhor : 1000	
Geração : 120	Fitness : -457.79	Fitness Melhor : 1000	
Geração : 121	Fitness : -225.31	Fitness Melhor : 1000	
Geração : 122	Fitness : -487.24	Fitness Melhor : 1000	
Geração : 123	Fitness : -229.97	Fitness Melhor : 1000	
Geração : 124	Fitness : -501.61	Fitness Melhor : 1000	
Geração : 125	Fitness : -476.8	Fitness Melhor : 1000	
Geração : 126	Fitness : -246.08	Fitness Melhor : 1000	
Geração : 127	Fitness : -409.39	Fitness Melhor : 1000	
Geração : 128	Fitness : -235.27	Fitness Melhor : 1000	
Geração : 129	Fitness : -351.87	Fitness Melhor : 1000	
Geração : 130	Fitness : -378.25	Fitness Melhor : 1000	
Geração : 131	Fitness : -173.89	Fitness Melhor : 1000	
Geração : 132	Fitness : -395.52	Fitness Melhor : 1000	
Geração : 133	Fitness : -428.33	Fitness Melhor : 1000	
Geração : 134	Fitness : -499.85	Fitness Melhor : 1000	
Geração : 135	Fitness : -241.04	Fitness Melhor : 1000	
Geração : 136	Fitness : -235.06	Fitness Melhor : 1000	
Geração : 137	Fitness : -431.88	Fitness Melhor : 1000	
Geração : 138	Fitness : -485.42	Fitness Melhor : 1000	
Geração : 139	Fitness : -88.34	Fitness Melhor : 1000	
Geração : 140	Fitness : -247.74	Fitness Melhor : 1000	
Geração : 141	Fitness : -209.25	Fitness Melhor : 1000	
Geração : 142	Fitness : -481.36	Fitness Melhor : 1000	
Geração : 143	Fitness : -309.43	Fitness Melhor : 1000	
Geração : 144	Fitness : -633.02	Fitness Melhor : 1000	
