Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 101	Fitness : -85.8	Fitness Melhor : 1000	
Geração : 102	Fitness : -21.35	Fitness Melhor : 1000	
Geração : 103	Fitness : -112.8	Fitness Melhor : 1000	
Geração : 104	Fitness : -105.25	Fitness Melhor : 1000	
Geração : 105	Fitness : 30.39	Fitness Melhor : 1000	
Geração : 106	Fitness : -247.01	Fitness Melhor : 1000	
Geração : 107	Fitness : -121.07	Fitness Melhor : 1000	
Geração : 108	Fitness : -79.53	Fitness Melhor : 1000	
Geração : 109	Fitness : 32.13	Fitness Melhor : 1000	
Geração : 110	Fitness : -36.76	Fitness Melhor : 1000	
Geração : 111	Fitness : -24.82	Fitness Melhor : 1000	
Geração : 112	Fitness : -84.99	Fitness Melhor : 1000	
Geração : 113	Fitness : -34.95	Fitness Melhor : 1000	
Geração : 114	Fitness : -27.17	Fitness Melhor : 1000	
Geração : 115	Fitness : -142.14	Fitness Melhor : 1000	
Geração : 116	Fitness : 27.84	Fitness Melhor : 1000	
Geração : 117	Fitness : 21.75	Fitness Melhor : 1000	
Geração : 118	Fitness : -51.46	Fitness Melhor : 1000	
Geração : 119	Fitness : -201.63	Fitness Melhor : 1000	
Geração : 120	Fitness : -234.49	Fitness Melhor : 1000	
Geração : 121	Fitness : -146.09	Fitness Melhor : 1000	
Geração : 122	Fitness : -107.45	Fitness Melhor : 1000	
Geração : 123	Fitness : -34.68	Fitness Melhor : 1000	
Geração : 124	Fitness : -182.0	Fitness Melhor : 1000	
Geração : 125	Fitness : -170.82	Fitness Melhor : 1000	
Geração : 126	Fitness : -40.49	Fitness Melhor : 1000	
Geração : 127	Fitness : -157.03	Fitness Melhor : 1000	
Geração : 128	Fitness : -107.23	Fitness Melhor : 1000	
Geração : 129	Fitness : -145.24	Fitness Melhor : 1000	
Geração : 130	Fitness : -101.0	Fitness Melhor : 1000	
Geração : 131	Fitness : -16.77	Fitness Melhor : 1000	
Geração : 132	Fitness : -29.57	Fitness Melhor : 1000	
Geração : 133	Fitness : 52.69	Fitness Melhor : 1000	
Geração : 134	Fitness : -142.58	Fitness Melhor : 1000	
Geração : 135	Fitness : 76.47	Fitness Melhor : 1000	
Geração : 136	Fitness : -192.92	Fitness Melhor : 1000	
Geração : 137	Fitness : -93.04	Fitness Melhor : 1000	
Geração : 138	Fitness : -43.15	Fitness Melhor : 1000	
Geração : 139	Fitness : -167.86	Fitness Melhor : 1000	
Geração : 140	Fitness : -153.15	Fitness Melhor : 1000	
Geração : 141	Fitness : -47.92	Fitness Melhor : 1000	
Geração : 142	Fitness : -50.11	Fitness Melhor : 1000	
Geração : 143	Fitness : -166.34	Fitness Melhor : 1000	
Geração : 144	Fitness : -82.33	Fitness Melhor : 1000	
Geração : 145	Fitness : -200.93	Fitness Melhor : 1000	
Geração : 146	Fitness : -40.99	Fitness Melhor : 1000	
Geração : 147	Fitness : -62.76	Fitness Melhor : 1000	
Geração : 148	Fitness : -68.79	Fitness Melhor : 1000	
Geração : 149	Fitness : -111.08	Fitness Melhor : 1000	
Geração : 150	Fitness : -15.1	Fitness Melhor : 1000	
Geração : 151	Fitness : 11.14	Fitness Melhor : 1000	
Geração : 152	Fitness : -17.77	Fitness Melhor : 1000	
Geração : 153	Fitness : -103.37	Fitness Melhor : 1000	
Geração : 154	Fitness : -147.49	Fitness Melhor : 1000	
Geração : 155	Fitness : -16.38	Fitness Melhor : 1000	
