Geração : 0	Fitness : -282.05	Fitness Melhor : 0	
Geração : 1	Fitness : -369.65	Fitness Melhor : -198	
Geração : 2	Fitness : -441.5	Fitness Melhor : 1	
Geração : 3	Fitness : -356.02	Fitness Melhor : 1	
Geração : 4	Fitness : -549.84	Fitness Melhor : 1	
Geração : 5	Fitness : -229.7	Fitness Melhor : 1	
Geração : 6	Fitness : -357.52	Fitness Melhor : 1	
Geração : 7	Fitness : -323.6	Fitness Melhor : 1	
Geração : 8	Fitness : -257.64	Fitness Melhor : 1	
Geração : 9	Fitness : -212.03	Fitness Melhor : 1	
Geração : 10	Fitness : -247.63	Fitness Melhor : 1	
Geração : 11	Fitness : -430.48	Fitness Melhor : 1	
Geração : 12	Fitness : -365.52	Fitness Melhor : 1	
Geração : 13	Fitness : -369.82	Fitness Melhor : 1	
Geração : 14	Fitness : -476.04	Fitness Melhor : 1	
Geração : 15	Fitness : -222.29	Fitness Melhor : 1	
Geração : 16	Fitness : -141.6	Fitness Melhor : 1	
Geração : 17	Fitness : -350.11	Fitness Melhor : 1	
Geração : 18	Fitness : -247.46	Fitness Melhor : 1	
Geração : 19	Fitness : -219.83	Fitness Melhor : 1	
Geração : 20	Fitness : -199.75	Fitness Melhor : 1	
Geração : 21	Fitness : -365.3	Fitness Melhor : 1	
Geração : 22	Fitness : -499.28	Fitness Melhor : 1	
Geração : 23	Fitness : -417.51	Fitness Melhor : 1	
Geração : 24	Fitness : -373.91	Fitness Melhor : 1	
Geração : 25	Fitness : -241.18	Fitness Melhor : 1	
Geração : 26	Fitness : -195.88	Fitness Melhor : 1	
Geração : 27	Fitness : -513.68	Fitness Melhor : 1	
Geração : 28	Fitness : -213.67	Fitness Melhor : 1	
Geração : 29	Fitness : -133.66	Fitness Melhor : 1	
Geração : 30	Fitness : -519.59	Fitness Melhor : 1	
Geração : 31	Fitness : -237.5	Fitness Melhor : 1	
Geração : 32	Fitness : -187.77	Fitness Melhor : 1	
Geração : 33	Fitness : -177.92	Fitness Melhor : 1	
Geração : 34	Fitness : -381.22	Fitness Melhor : 1	
Geração : 35	Fitness : -239.23	Fitness Melhor : 1	
Geração : 36	Fitness : -289.43	Fitness Melhor : 1	
Geração : 37	Fitness : -341.51	Fitness Melhor : 1	
Geração : 38	Fitness : -165.68	Fitness Melhor : 1	
Geração : 39	Fitness : -209.82	Fitness Melhor : 1	
Geração : 40	Fitness : -247.45	Fitness Melhor : 1	
Geração : 41	Fitness : -197.62	Fitness Melhor : 1	
Geração : 42	Fitness : -246.0	Fitness Melhor : 1	
Geração : 43	Fitness : -311.54	Fitness Melhor : 1	
Geração : 44	Fitness : -559.53	Fitness Melhor : 1	
Geração : 45	Fitness : -357.66	Fitness Melhor : 1	
Geração : 46	Fitness : -333.81	Fitness Melhor : 1	
Geração : 47	Fitness : -149.62	Fitness Melhor : 1	
Geração : 48	Fitness : -203.71	Fitness Melhor : 1	
Geração : 49	Fitness : -269.2	Fitness Melhor : 1	
Geração : 50	Fitness : -394.28	Fitness Melhor : 1	
Geração : 51	Fitness : -229.59	Fitness Melhor : 1	
