Geração : 0	Fitness : -337.58	Fitness Melhor : -994	
Geração : 1	Fitness : -415.24	Fitness Melhor : -197	
Geração : 2	Fitness : -536.14	Fitness Melhor : -195	
Geração : 3	Fitness : -523.51	Fitness Melhor : 400	
Geração : 4	Fitness : -437.73	Fitness Melhor : 600	
Geração : 5	Fitness : -329.57	Fitness Melhor : 600	
Geração : 6	Fitness : -456.35	Fitness Melhor : 600	
Geração : 7	Fitness : -572.33	Fitness Melhor : 600	
Geração : 8	Fitness : -360.25	Fitness Melhor : 600	
Geração : 9	Fitness : -383.05	Fitness Melhor : 600	
Geração : 10	Fitness : -623.98	Fitness Melhor : 600	
Geração : 11	Fitness : -446.83	Fitness Melhor : 600	
Geração : 12	Fitness : -525.19	Fitness Melhor : 600	
Geração : 13	Fitness : -344.14	Fitness Melhor : 600	
Geração : 14	Fitness : -410.14	Fitness Melhor : 600	
Geração : 15	Fitness : -328.32	Fitness Melhor : 600	
Geração : 16	Fitness : -538.4	Fitness Melhor : 600	
Geração : 17	Fitness : -492.02	Fitness Melhor : 600	
Geração : 18	Fitness : -444.08	Fitness Melhor : 800	
Geração : 19	Fitness : -668.58	Fitness Melhor : 800	
Geração : 20	Fitness : -338.12	Fitness Melhor : 800	
Geração : 21	Fitness : -506.38	Fitness Melhor : 800	
Geração : 22	Fitness : -235.03	Fitness Melhor : 800	
Geração : 23	Fitness : -404.68	Fitness Melhor : 800	
Geração : 24	Fitness : -444.3	Fitness Melhor : 800	
Geração : 25	Fitness : -499.03	Fitness Melhor : 800	
Geração : 26	Fitness : -415.79	Fitness Melhor : 800	
Geração : 27	Fitness : -362.87	Fitness Melhor : 800	
Geração : 28	Fitness : -524.29	Fitness Melhor : 800	
Geração : 29	Fitness : -601.36	Fitness Melhor : 800	
Geração : 30	Fitness : -272.46	Fitness Melhor : 800	
Geração : 31	Fitness : -348.61	Fitness Melhor : 800	
Geração : 32	Fitness : -338.95	Fitness Melhor : 800	
Geração : 33	Fitness : -398.87	Fitness Melhor : 800	
Geração : 34	Fitness : -237.95	Fitness Melhor : 1000	
Geração : 35	Fitness : -286.71	Fitness Melhor : 1000	
Geração : 36	Fitness : -177.43	Fitness Melhor : 1000	
Geração : 37	Fitness : -407.9	Fitness Melhor : 1000	
Geração : 38	Fitness : -251.43	Fitness Melhor : 1000	
Geração : 39	Fitness : -191.21	Fitness Melhor : 1000	
Geração : 40	Fitness : -428.26	Fitness Melhor : 1000	
Geração : 41	Fitness : -291.78	Fitness Melhor : 1000	
Geração : 42	Fitness : -334.74	Fitness Melhor : 1000	
Geração : 43	Fitness : -273.91	Fitness Melhor : 1000	
Geração : 44	Fitness : -522.69	Fitness Melhor : 1000	
Geração : 45	Fitness : -244.36	Fitness Melhor : 1000	
Geração : 46	Fitness : -312.55	Fitness Melhor : 1000	
Geração : 47	Fitness : -298.32	Fitness Melhor : 1000	
Geração : 48	Fitness : -184.36	Fitness Melhor : 1000	
Geração : 49	Fitness : -348.76	Fitness Melhor : 1000	
Geração : 50	Fitness : -228.89	Fitness Melhor : 1000	
Geração : 51	Fitness : -208.25	Fitness Melhor : 1000	
Geração : 52	Fitness : -94.82	Fitness Melhor : 1000	
Geração : 53	Fitness : -197.21	Fitness Melhor : 1000	
Geração : 54	Fitness : -212.01	Fitness Melhor : 1000	
Geração : 55	Fitness : -190.63	Fitness Melhor : 1000	
Geração : 56	Fitness : -273.1	Fitness Melhor : 1000	
