nova solução
############### 
#Iooooo--ooooo# 
#-----oooo----# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 101	Fitness : -242.07	Fitness Melhor : 1000	
Geração : 102	Fitness : -243.49	Fitness Melhor : 1000	
Geração : 103	Fitness : -176.65	Fitness Melhor : 1000	
Geração : 104	Fitness : -2.02	Fitness Melhor : 1000	
Geração : 105	Fitness : -191.43	Fitness Melhor : 1000	
Geração : 106	Fitness : -135.44	Fitness Melhor : 1000	
Geração : 107	Fitness : -205.89	Fitness Melhor : 1000	
Geração : 108	Fitness : -203.86	Fitness Melhor : 1000	
Geração : 109	Fitness : -147.81	Fitness Melhor : 1000	
Geração : 110	Fitness : -78.3	Fitness Melhor : 1000	
Geração : 111	Fitness : -201.28	Fitness Melhor : 1000	
Geração : 112	Fitness : -168.07	Fitness Melhor : 1000	
Geração : 113	Fitness : -53.57	Fitness Melhor : 1000	
Geração : 114	Fitness : -173.99	Fitness Melhor : 1000	
Geração : 115	Fitness : -244.44	Fitness Melhor : 1000	
Geração : 116	Fitness : -123.24	Fitness Melhor : 1000	
Geração : 117	Fitness : -299.41	Fitness Melhor : 1000	
Geração : 118	Fitness : -89.41	Fitness Melhor : 1000	
Geração : 119	Fitness : -204.78	Fitness Melhor : 1000	
Geração : 120	Fitness : -173.16	Fitness Melhor : 1000	
Geração : 121	Fitness : -148.01	Fitness Melhor : 1000	
Geração : 122	Fitness : -115.14	Fitness Melhor : 1000	
Geração : 123	Fitness : -87.41	Fitness Melhor : 1000	
Geração : 124	Fitness : -142.65	Fitness Melhor : 1000	
Geração : 125	Fitness : -175.11	Fitness Melhor : 1000	
Geração : 126	Fitness : -248.46	Fitness Melhor : 1000	
Geração : 127	Fitness : -294.29	Fitness Melhor : 1000	
Geração : 128	Fitness : -168.48	Fitness Melhor : 1000	
Geração : 129	Fitness : -101.73	Fitness Melhor : 1000	
Geração : 130	Fitness : -62.94	Fitness Melhor : 1000	
Geração : 131	Fitness : -150.49	Fitness Melhor : 1000	
Geração : 132	Fitness : -38.93	Fitness Melhor : 1000	
Geração : 133	Fitness : -171.45	Fitness Melhor : 1000	
Geração : 134	Fitness : -176.92	Fitness Melhor : 1000	
Geração : 135	Fitness : -192.25	Fitness Melhor : 1000	
Geração : 136	Fitness : -101.97	Fitness Melhor : 1000	
Geração : 137	Fitness : -77.17	Fitness Melhor : 1000	
Geração : 138	Fitness : -269.75	Fitness Melhor : 1000	
Geração : 139	Fitness : -226.97	Fitness Melhor : 1000	
Geração : 140	Fitness : -111.04	Fitness Melhor : 1000	
Geração : 141	Fitness : -263.09	Fitness Melhor : 1000	
Geração : 142	Fitness : -248.58	Fitness Melhor : 1000	
Geração : 143	Fitness : -355.47	Fitness Melhor : 1000	
Geração : 144	Fitness : -155.76	Fitness Melhor : 1000	
Geração : 145	Fitness : -221.05	Fitness Melhor : 1000	
Geração : 146	Fitness : -17.48	Fitness Melhor : 1000	
Geração : 147	Fitness : -224.57	Fitness Melhor : 1000	
Geração : 148	Fitness : -224.03	Fitness Melhor : 1000	
Geração : 149	Fitness : -158.0	Fitness Melhor : 1000	
Geração : 150	Fitness : -278.95	Fitness Melhor : 1000	
Geração : 151	Fitness : -183.0	Fitness Melhor : 1000	
Geração : 152	Fitness : -219.88	Fitness Melhor : 1000	
Geração : 153	Fitness : -103.93	Fitness Melhor : 1000	
Geração : 154	Fitness : -156.8	Fitness Melhor : 1000	
Geração : 155	Fitness : -118.59	Fitness Melhor : 1000	
Geração : 156	Fitness : 10.94	Fitness Melhor : 1000	
Geração : 157	Fitness : -219.16	Fitness Melhor : 1000	
Geração : 158	Fitness : -72.56	Fitness Melhor : 1000	
Geração : 159	Fitness : -183.17	Fitness Melhor : 1000	
Geração : 160	Fitness : -199.56	Fitness Melhor : 1000	
Geração : 161	Fitness : -162.25	Fitness Melhor : 1000	
Geração : 162	Fitness : -41.2	Fitness Melhor : 1000	
Geração : 163	Fitness : 4.47	Fitness Melhor : 1000	
Geração : 164	Fitness : -337.21	Fitness Melhor : 1000	
Geração : 165	Fitness : -128.36	Fitness Melhor : 1000	
Geração : 166	Fitness : -148.69	Fitness Melhor : 1000	
Geração : 167	Fitness : 1.33	Fitness Melhor : 1000	
Geração : 168	Fitness : -160.49	Fitness Melhor : 1000	
Geração : 169	Fitness : -328.06	Fitness Melhor : 1000	
Geração : 170	Fitness : -95.67	Fitness Melhor : 1000	
Geração : 171	Fitness : -376.56	Fitness Melhor : 1000	
Geração : 172	Fitness : -65.17	Fitness Melhor : 1000	
Geração : 173	Fitness : -80.93	Fitness Melhor : 1000	
Geração : 174	Fitness : -128.01	Fitness Melhor : 1000	
Geração : 175	Fitness : -66.46	Fitness Melhor : 1000	
Geração : 176	Fitness : -239.87	Fitness Melhor : 1000	
Geração : 177	Fitness : -117.07	Fitness Melhor : 1000	
Geração : 178	Fitness : -87.6	Fitness Melhor : 1000	
Geração : 179	Fitness : -176.52	Fitness Melhor : 1000	
Geração : 180	Fitness : -83.3	Fitness Melhor : 1000	
Geração : 181	Fitness : -445.89	Fitness Melhor : 1000	
Geração : 182	Fitness : -182.19	Fitness Melhor : 1000	
Geração : 183	Fitness : -123.85	Fitness Melhor : 1000	
Geração : 184	Fitness : -230.54	Fitness Melhor : 1000	
Geração : 185	Fitness : -124.33	Fitness Melhor : 1000	
Geração : 186	Fitness : -229.2	Fitness Melhor : 1000	
Geração : 187	Fitness : -146.94	Fitness Melhor : 1000	
Geração : 188	Fitness : -124.99	Fitness Melhor : 1000	
Geração : 189	Fitness : -75.26	Fitness Melhor : 1000	
Geração : 190	Fitness : -183.9	Fitness Melhor : 1000	
Geração : 191	Fitness : -197.93	Fitness Melhor : 1000	
Geração : 192	Fitness : -183.2	Fitness Melhor : 1000	
Geração : 193	Fitness : 22.6	Fitness Melhor : 1000	
Geração : 194	Fitness : -171.1	Fitness Melhor : 1000	
Geração : 195	Fitness : -143.87	Fitness Melhor : 1000	
Geração : 196	Fitness : -164.72	Fitness Melhor : 1000	
Geração : 197	Fitness : -122.27	Fitness Melhor : 1000	
Geração : 198	Fitness : -72.77	Fitness Melhor : 1000	
Geração : 199	Fitness : -129.63	Fitness Melhor : 1000	
Geração : 200	Fitness : -21.17	Fitness Melhor : 1000	
Geração : 201	Fitness : -82.4	Fitness Melhor : 1000	
Geração : 202	Fitness : -132.41	Fitness Melhor : 1000	
Geração : 203	Fitness : -140.4	Fitness Melhor : 1000	
Geração : 204	Fitness : -58.5	Fitness Melhor : 1000	
Geração : 205	Fitness : -90.67	Fitness Melhor : 1000	
Geração : 206	Fitness : -123.01	Fitness Melhor : 1000	
Geração : 207	Fitness : -161.12	Fitness Melhor : 1000	
Geração : 208	Fitness : -311.42	Fitness Melhor : 1000	
Geração : 209	Fitness : -65.14	Fitness Melhor : 1000	
Geração : 210	Fitness : -64.72	Fitness Melhor : 1000	
Geração : 211	Fitness : -151.65	Fitness Melhor : 1000	
Geração : 212	Fitness : -286.8	Fitness Melhor : 1000	
Geração : 213	Fitness : -96.44	Fitness Melhor : 1000	
Geração : 214	Fitness : -94.2	Fitness Melhor : 1000	
Geração : 215	Fitness : -170.03	Fitness Melhor : 1000	
Geração : 216	Fitness : -56.19	Fitness Melhor : 1000	
Geração : 217	Fitness : -161.87	Fitness Melhor : 1000	
Geração : 218	Fitness : -174.27	Fitness Melhor : 1000	
Geração : 219	Fitness : -41.97	Fitness Melhor : 1000	
Geração : 220	Fitness : -182.18	Fitness Melhor : 1000	
Geração : 221	Fitness : -94.94	Fitness Melhor : 1000	
Geração : 222	Fitness : -202.35	Fitness Melhor : 1000	
Geração : 223	Fitness : 4.83	Fitness Melhor : 1000	
Geração : 224	Fitness : -217.6	Fitness Melhor : 1000	
Geração : 225	Fitness : -189.95	Fitness Melhor : 1000	
Geração : 226	Fitness : -168.8	Fitness Melhor : 1000	
Geração : 227	Fitness : 29.44	Fitness Melhor : 1000	
Geração : 228	Fitness : -183.38	Fitness Melhor : 1000	
Geração : 229	Fitness : -233.32	Fitness Melhor : 1000	
Geração : 230	Fitness : -153.24	Fitness Melhor : 1000	
Geração : 231	Fitness : 53.08	Fitness Melhor : 1000	
Geração : 232	Fitness : -346.11	Fitness Melhor : 1000	
Geração : 233	Fitness : -218.87	Fitness Melhor : 1000	
Geração : 234	Fitness : -211.98	Fitness Melhor : 1000	
Geração : 235	Fitness : -86.33	Fitness Melhor : 1000	
Geração : 236	Fitness : -171.97	Fitness Melhor : 1000	
Geração : 237	Fitness : -101.32	Fitness Melhor : 1000	
Geração : 238	Fitness : -104.02	Fitness Melhor : 1000	
Geração : 239	Fitness : -97.85	Fitness Melhor : 1000	
Geração : 240	Fitness : -121.19	Fitness Melhor : 1000	
Geração : 241	Fitness : -50.86	Fitness Melhor : 1000	
Geração : 242	Fitness : -152.7	Fitness Melhor : 1000	
Geração : 243	Fitness : -313.24	Fitness Melhor : 1000	
Geração : 244	Fitness : -46.1	Fitness Melhor : 1000	
Geração : 245	Fitness : -223.22	Fitness Melhor : 1000	
Geração : 246	Fitness : -276.0	Fitness Melhor : 1000	
Geração : 247	Fitness : 12.61	Fitness Melhor : 1000	
Geração : 248	Fitness : -63.06	Fitness Melhor : 1000	
Geração : 249	Fitness : -210.35	Fitness Melhor : 1000	
Geração : 250	Fitness : -281.88	Fitness Melhor : 1000	
Geração : 251	Fitness : -66.91	Fitness Melhor : 1000	
Geração : 252	Fitness : -252.97	Fitness Melhor : 1000	
Geração : 253	Fitness : -200.93	Fitness Melhor : 1000	
Geração : 254	Fitness : -32.66	Fitness Melhor : 1000	
Geração : 255	Fitness : -232.19	Fitness Melhor : 1000	
Geração : 256	Fitness : -81.18	Fitness Melhor : 1000	
Geração : 257	Fitness : -143.44	Fitness Melhor : 1000	
Geração : 258	Fitness : -110.78	Fitness Melhor : 1000	
Geração : 259	Fitness : -102.22	Fitness Melhor : 1000	
Geração : 260	Fitness : -20.8	Fitness Melhor : 1000	
Geração : 261	Fitness : -158.07	Fitness Melhor : 1000	
Geração : 262	Fitness : -262.86	Fitness Melhor : 1000	
Geração : 263	Fitness : -197.58	Fitness Melhor : 1000	
Geração : 264	Fitness : -242.39	Fitness Melhor : 1000	
Geração : 265	Fitness : -216.62	Fitness Melhor : 1000	
Geração : 266	Fitness : -138.66	Fitness Melhor : 1000	
Geração : 267	Fitness : -85.82	Fitness Melhor : 1000	
Geração : 268	Fitness : -171.42	Fitness Melhor : 1000	
Geração : 269	Fitness : -175.66	Fitness Melhor : 1000	
Geração : 270	Fitness : -139.87	Fitness Melhor : 1000	
Geração : 271	Fitness : -7.58	Fitness Melhor : 1000	
Geração : 272	Fitness : -77.63	Fitness Melhor : 1000	
Geração : 273	Fitness : -140.67	Fitness Melhor : 1000	
Geração : 274	Fitness : -92.37	Fitness Melhor : 1000	
Geração : 275	Fitness : -152.37	Fitness Melhor : 1000	
Geração : 276	Fitness : -93.17	Fitness Melhor : 1000	
Geração : 277	Fitness : -155.91	Fitness Melhor : 1000	
Geração : 278	Fitness : -66.37	Fitness Melhor : 1000	
Geração : 279	Fitness : -156.36	Fitness Melhor : 1000	
Geração : 280	Fitness : -340.81	Fitness Melhor : 1000	
Geração : 281	Fitness : -170.52	Fitness Melhor : 1000	
Geração : 282	Fitness : -180.67	Fitness Melhor : 1000	
Geração : 283	Fitness : -160.23	Fitness Melhor : 1000	
Geração : 284	Fitness : -251.09	Fitness Melhor : 1000	
Geração : 285	Fitness : -141.33	Fitness Melhor : 1000	
Geração : 286	Fitness : -81.51	Fitness Melhor : 1000	
Geração : 287	Fitness : -408.46	Fitness Melhor : 1000	
Geração : 288	Fitness : -284.48	Fitness Melhor : 1000	
Geração : 289	Fitness : -173.13	Fitness Melhor : 1000	
Geração : 290	Fitness : -99.38	Fitness Melhor : 1000	
Geração : 291	Fitness : -85.98	Fitness Melhor : 1000	
Geração : 292	Fitness : -126.59	Fitness Melhor : 1000	
Geração : 293	Fitness : -55.27	Fitness Melhor : 1000	
Geração : 294	Fitness : -161.87	Fitness Melhor : 1000	
Geração : 295	Fitness : -216.47	Fitness Melhor : 1000	
Geração : 296	Fitness : -265.32	Fitness Melhor : 1000	
Geração : 297	Fitness : -199.82	Fitness Melhor : 1000	
Geração : 298	Fitness : -251.98	Fitness Melhor : 1000	
Geração : 299	Fitness : -35.48	Fitness Melhor : 1000	
Geração : 300	Fitness : -86.16	Fitness Melhor : 1000	
Geração : 301	Fitness : -104.53	Fitness Melhor : 1000	
Geração : 302	Fitness : -176.92	Fitness Melhor : 1000	
Geração : 303	Fitness : -155.59	Fitness Melhor : 1000	
Geração : 304	Fitness : -154.61	Fitness Melhor : 1000	
Geração : 305	Fitness : -71.99	Fitness Melhor : 1000	
Geração : 306	Fitness : -43.79	Fitness Melhor : 1000	
Geração : 307	Fitness : -129.74	Fitness Melhor : 1000	
Geração : 308	Fitness : -162.45	Fitness Melhor : 1000	
Geração : 309	Fitness : -241.1	Fitness Melhor : 1000	
Geração : 310	Fitness : -307.55	Fitness Melhor : 1000	
Geração : 311	Fitness : -71.48	Fitness Melhor : 1000	
Geração : 312	Fitness : -126.03	Fitness Melhor : 1000	
Geração : 313	Fitness : -369.31	Fitness Melhor : 1000	
Geração : 314	Fitness : -114.48	Fitness Melhor : 1000	
Geração : 315	Fitness : -214.94	Fitness Melhor : 1000	
Geração : 316	Fitness : -196.21	Fitness Melhor : 1000	
Geração : 317	Fitness : -140.99	Fitness Melhor : 1000	
Geração : 318	Fitness : -147.05	Fitness Melhor : 1000	
Geração : 319	Fitness : -101.27	Fitness Melhor : 1000	
Geração : 320	Fitness : -197.66	Fitness Melhor : 1000	
Geração : 321	Fitness : -66.92	Fitness Melhor : 1000	
Geração : 322	Fitness : -117.14	Fitness Melhor : 1000	
Geração : 323	Fitness : -122.34	Fitness Melhor : 1000	
Geração : 324	Fitness : -54.65	Fitness Melhor : 1000	
Geração : 325	Fitness : -191.97	Fitness Melhor : 1000	
Geração : 326	Fitness : -182.95	Fitness Melhor : 1000	
Geração : 327	Fitness : -69.79	Fitness Melhor : 1000	
Geração : 328	Fitness : -235.7	Fitness Melhor : 1000	
Geração : 329	Fitness : -138.97	Fitness Melhor : 1000	
Geração : 330	Fitness : -194.5	Fitness Melhor : 1000	
Geração : 331	Fitness : -127.34	Fitness Melhor : 1000	
Geração : 332	Fitness : -109.51	Fitness Melhor : 1000	
Geração : 333	Fitness : -203.03	Fitness Melhor : 1000	
Geração : 334	Fitness : -114.42	Fitness Melhor : 1000	
Geração : 335	Fitness : -186.39	Fitness Melhor : 1000	
Geração : 336	Fitness : -140.61	Fitness Melhor : 1000	
Geração : 337	Fitness : -241.07	Fitness Melhor : 1000	
Geração : 338	Fitness : -182.49	Fitness Melhor : 1000	
Geração : 339	Fitness : -228.57	Fitness Melhor : 1000	
Geração : 340	Fitness : -165.13	Fitness Melhor : 1000	
Geração : 341	Fitness : -49.95	Fitness Melhor : 1000	
Geração : 342	Fitness : -287.71	Fitness Melhor : 1000	
Geração : 343	Fitness : -40.12	Fitness Melhor : 1000	
Geração : 344	Fitness : -77.1	Fitness Melhor : 1000	
Geração : 345	Fitness : -272.94	Fitness Melhor : 1000	
