Geração : 105	Fitness : -151.19	Fitness Melhor : 1000	
Geração : 106	Fitness : -85.49	Fitness Melhor : 1000	
Geração : 107	Fitness : -222.41	Fitness Melhor : 1000	
Geração : 108	Fitness : -90.94	Fitness Melhor : 1000	
Geração : 109	Fitness : -169.37	Fitness Melhor : 1000	
Geração : 110	Fitness : -308.83	Fitness Melhor : 1000	
Geração : 111	Fitness : -174.85	Fitness Melhor : 1000	
Geração : 112	Fitness : -251.73	Fitness Melhor : 1000	
Geração : 113	Fitness : -245.06	Fitness Melhor : 1000	
Geração : 114	Fitness : -350.55	Fitness Melhor : 1000	
Geração : 115	Fitness : -161.88	Fitness Melhor : 1000	
Geração : 116	Fitness : -99.22	Fitness Melhor : 1000	
Geração : 117	Fitness : -147.62	Fitness Melhor : 1000	
Geração : 118	Fitness : -174.01	Fitness Melhor : 1000	
Geração : 119	Fitness : -190.98	Fitness Melhor : 1000	
Geração : 120	Fitness : -162.11	Fitness Melhor : 1000	
Geração : 121	Fitness : -214.21	Fitness Melhor : 1000	
Geração : 122	Fitness : -198.75	Fitness Melhor : 1000	
Geração : 123	Fitness : -282.4	Fitness Melhor : 1000	
Geração : 124	Fitness : -109.81	Fitness Melhor : 1000	
Geração : 125	Fitness : -256.89	Fitness Melhor : 1000	
Geração : 126	Fitness : -146.46	Fitness Melhor : 1000	
Geração : 127	Fitness : -243.97	Fitness Melhor : 1000	
Geração : 128	Fitness : -211.13	Fitness Melhor : 1000	
Geração : 129	Fitness : -356.13	Fitness Melhor : 1000	
Geração : 130	Fitness : -158.32	Fitness Melhor : 1000	
Geração : 131	Fitness : -325.67	Fitness Melhor : 1000	
Geração : 132	Fitness : -284.21	Fitness Melhor : 1000	
Geração : 133	Fitness : -216.67	Fitness Melhor : 1000	
Geração : 134	Fitness : -307.67	Fitness Melhor : 1000	
Geração : 135	Fitness : -251.71	Fitness Melhor : 1000	
Geração : 136	Fitness : -129.63	Fitness Melhor : 1000	
Geração : 137	Fitness : -240.8	Fitness Melhor : 1000	
Geração : 138	Fitness : -206.48	Fitness Melhor : 1000	
Geração : 139	Fitness : -241.4	Fitness Melhor : 1000	
Geração : 140	Fitness : -249.9	Fitness Melhor : 1000	
Geração : 141	Fitness : -226.28	Fitness Melhor : 1000	
Geração : 142	Fitness : -126.29	Fitness Melhor : 1000	
Geração : 143	Fitness : -157.46	Fitness Melhor : 1000	
Geração : 144	Fitness : -249.88	Fitness Melhor : 1000	
Geração : 145	Fitness : -122.37	Fitness Melhor : 1000	
Geração : 146	Fitness : -274.7	Fitness Melhor : 1000	
Geração : 147	Fitness : -122.79	Fitness Melhor : 1000	
Geração : 148	Fitness : -205.89	Fitness Melhor : 1000	
Geração : 149	Fitness : -263.52	Fitness Melhor : 1000	
Geração : 150	Fitness : -311.96	Fitness Melhor : 1000	
Geração : 151	Fitness : -227.21	Fitness Melhor : 1000	
Geração : 152	Fitness : -222.99	Fitness Melhor : 1000	
Geração : 153	Fitness : -243.69	Fitness Melhor : 1000	
Geração : 154	Fitness : -224.32	Fitness Melhor : 1000	
Geração : 155	Fitness : -219.65	Fitness Melhor : 1000	
Geração : 156	Fitness : -209.9	Fitness Melhor : 1000	
Geração : 157	Fitness : -137.72	Fitness Melhor : 1000	
Geração : 158	Fitness : -392.74	Fitness Melhor : 1000	
Geração : 159	Fitness : -374.78	Fitness Melhor : 1000	
Geração : 160	Fitness : -160.86	Fitness Melhor : 1000	
Geração : 161	Fitness : -240.62	Fitness Melhor : 1000	
Geração : 162	Fitness : -255.09	Fitness Melhor : 1000	
Geração : 163	Fitness : -227.28	Fitness Melhor : 1000	
Geração : 164	Fitness : -296.84	Fitness Melhor : 1000	
Geração : 165	Fitness : -219.65	Fitness Melhor : 1000	
Geração : 166	Fitness : -131.86	Fitness Melhor : 1000	
Geração : 167	Fitness : -406.25	Fitness Melhor : 1000	
Geração : 168	Fitness : -310.93	Fitness Melhor : 1000	
Geração : 169	Fitness : -392.15	Fitness Melhor : 1000	
Geração : 170	Fitness : -233.15	Fitness Melhor : 1000	
Geração : 171	Fitness : -250.7	Fitness Melhor : 1000	
Geração : 172	Fitness : -138.7	Fitness Melhor : 1000	
Geração : 173	Fitness : -62.29	Fitness Melhor : 1000	
Geração : 174	Fitness : -201.65	Fitness Melhor : 1000	
Geração : 175	Fitness : -129.48	Fitness Melhor : 1000	
Geração : 176	Fitness : -395.61	Fitness Melhor : 1000	
Geração : 177	Fitness : -355.04	Fitness Melhor : 1000	
Geração : 178	Fitness : -278.66	Fitness Melhor : 1000	
Geração : 179	Fitness : -354.44	Fitness Melhor : 1000	
Geração : 180	Fitness : -203.78	Fitness Melhor : 1000	
Geração : 181	Fitness : -362.22	Fitness Melhor : 1000	
Geração : 182	Fitness : -287.45	Fitness Melhor : 1000	
Geração : 183	Fitness : -306.72	Fitness Melhor : 1000	
Geração : 184	Fitness : -150.4	Fitness Melhor : 1000	
Geração : 185	Fitness : -225.96	Fitness Melhor : 1000	
Geração : 186	Fitness : -386.48	Fitness Melhor : 1000	
