
Solução nova :

############### 
#Ioooooo-----o# 
#------ooooooo# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 103	Fitness : -162.85	Fitness Melhor : -7	
Geração : 104	Fitness : -140.83	Fitness Melhor : -7	
Geração : 105	Fitness : -255.65	Fitness Melhor : -7	
Geração : 106	Fitness : -171.25	Fitness Melhor : -7	
Geração : 107	Fitness : -163.67	Fitness Melhor : -7	
Geração : 108	Fitness : -138.74	Fitness Melhor : -7	
Geração : 109	Fitness : -259.23	Fitness Melhor : -7	
Geração : 110	Fitness : -217.51	Fitness Melhor : -7	
Geração : 111	Fitness : -99.33	Fitness Melhor : -7	
Geração : 112	Fitness : -181.93	Fitness Melhor : -7	
Geração : 113	Fitness : -68.82	Fitness Melhor : -7	
Geração : 114	Fitness : -111.09	Fitness Melhor : -7	
Geração : 115	Fitness : -315.55	Fitness Melhor : 6	
Geração : 116	Fitness : -99.28	Fitness Melhor : 7	
Geração : 117	Fitness : -156.2	Fitness Melhor : 7	
Geração : 118	Fitness : -242.82	Fitness Melhor : 7	
Geração : 119	Fitness : -81.47	Fitness Melhor : 7	
Geração : 120	Fitness : -102.22	Fitness Melhor : 7	
Geração : 121	Fitness : -178.9	Fitness Melhor : 7	
Geração : 122	Fitness : -210.28	Fitness Melhor : 7	
Geração : 123	Fitness : -241.18	Fitness Melhor : 7	
Geração : 124	Fitness : -184.58	Fitness Melhor : 7	
Geração : 125	Fitness : -74.76	Fitness Melhor : 7	
Geração : 126	Fitness : -143.66	Fitness Melhor : 7	
Geração : 127	Fitness : -101.22	Fitness Melhor : 7	
Geração : 128	Fitness : -140.67	Fitness Melhor : 7	
Geração : 129	Fitness : -84.27	Fitness Melhor : 7	
Geração : 130	Fitness : -185.52	Fitness Melhor : 7	
Geração : 131	Fitness : -143.34	Fitness Melhor : 7	
Geração : 132	Fitness : -417.64	Fitness Melhor : 7	
Geração : 133	Fitness : -130.65	Fitness Melhor : 7	
Geração : 134	Fitness : -70.31	Fitness Melhor : 1000	
Geração : 135	Fitness : 29.63	Fitness Melhor : 1000	
Geração : 136	Fitness : -78.6	Fitness Melhor : 1000	
Geração : 137	Fitness : -52.22	Fitness Melhor : 1000	
Geração : 138	Fitness : -61.91	Fitness Melhor : 1000	
Geração : 139	Fitness : -65.31	Fitness Melhor : 1000	
Geração : 140	Fitness : -38.69	Fitness Melhor : 1000	
Geração : 141	Fitness : -68.51	Fitness Melhor : 1000	
Geração : 142	Fitness : -131.18	Fitness Melhor : 1000	
Geração : 143	Fitness : 18.29	Fitness Melhor : 1000	
Geração : 144	Fitness : -17.52	Fitness Melhor : 1000	
Geração : 145	Fitness : -18.09	Fitness Melhor : 1000	
Geração : 146	Fitness : -69.81	Fitness Melhor : 1000	
Geração : 147	Fitness : -101.89	Fitness Melhor : 1000	
Geração : 148	Fitness : -82.75	Fitness Melhor : 1000	
Geração : 149	Fitness : -85.12	Fitness Melhor : 1000	
Geração : 150	Fitness : 9.19	Fitness Melhor : 1000	
Geração : 151	Fitness : -59.24	Fitness Melhor : 1000	
Geração : 152	Fitness : -90.94	Fitness Melhor : 1000	
Geração : 153	Fitness : 45.09	Fitness Melhor : 1000	
Geração : 154	Fitness : -69.13	Fitness Melhor : 1000	
Geração : 155	Fitness : 15.34	Fitness Melhor : 1000	
Geração : 156	Fitness : -3.85	Fitness Melhor : 1000	
Geração : 157	Fitness : 11.82	Fitness Melhor : 1000	
Geração : 158	Fitness : -95.77	Fitness Melhor : 1000	
Geração : 159	Fitness : -14.71	Fitness Melhor : 1000	
Geração : 160	Fitness : 1.52	Fitness Melhor : 1000	
Geração : 161	Fitness : -12.91	Fitness Melhor : 1000	
Geração : 162	Fitness : 42.96	Fitness Melhor : 1000	
Geração : 163	Fitness : -86.93	Fitness Melhor : 1000	
Geração : 164	Fitness : 23.11	Fitness Melhor : 1000	
Geração : 165	Fitness : 19.37	Fitness Melhor : 1000	
Geração : 166	Fitness : -44.95	Fitness Melhor : 1000	
Geração : 167	Fitness : 21.71	Fitness Melhor : 1000	
Geração : 168	Fitness : -11.97	Fitness Melhor : 1000	
Geração : 169	Fitness : -26.78	Fitness Melhor : 1000	
Geração : 170	Fitness : -12.78	Fitness Melhor : 1000	
Geração : 171	Fitness : -102.13	Fitness Melhor : 1000	
Geração : 172	Fitness : -41.75	Fitness Melhor : 1000	
Geração : 173	Fitness : 32.87	Fitness Melhor : 1000	
Geração : 174	Fitness : -105.43	Fitness Melhor : 1000	
Geração : 175	Fitness : -55.23	Fitness Melhor : 1000	
Geração : 176	Fitness : -69.1	Fitness Melhor : 1000	
Geração : 177	Fitness : 14.47	Fitness Melhor : 1000	
Geração : 178	Fitness : -3.72	Fitness Melhor : 1000	
Geração : 179	Fitness : 9.27	Fitness Melhor : 1000	
Geração : 180	Fitness : -145.88	Fitness Melhor : 1000	
Geração : 181	Fitness : -89.58	Fitness Melhor : 1000	
Geração : 182	Fitness : -12.0	Fitness Melhor : 1000	
Geração : 183	Fitness : -198.15	Fitness Melhor : 1000	
Geração : 184	Fitness : -179.98	Fitness Melhor : 1000	
Geração : 185	Fitness : -135.57	Fitness Melhor : 1000	
Geração : 186	Fitness : -65.63	Fitness Melhor : 1000	
Geração : 187	Fitness : -200.03	Fitness Melhor : 1000	
Geração : 188	Fitness : -173.39	Fitness Melhor : 1000	
Geração : 189	Fitness : -6.35	Fitness Melhor : 1000	
Geração : 190	Fitness : -40.93	Fitness Melhor : 1000	
Geração : 191	Fitness : -76.49	Fitness Melhor : 1000	
Geração : 192	Fitness : -59.18	Fitness Melhor : 1000	
Geração : 193	Fitness : -39.78	Fitness Melhor : 1000	
Geração : 194	Fitness : -74.51	Fitness Melhor : 1000	
Geração : 195	Fitness : -93.8	Fitness Melhor : 1000	
Geração : 196	Fitness : -73.19	Fitness Melhor : 1000	
Geração : 197	Fitness : -273.36	Fitness Melhor : 1000	
Geração : 198	Fitness : -128.4	Fitness Melhor : 1000	
Geração : 199	Fitness : -271.0	Fitness Melhor : 1000	
Geração : 200	Fitness : -70.21	Fitness Melhor : 1000	
Geração : 201	Fitness : -103.86	Fitness Melhor : 1000	
Geração : 202	Fitness : -93.48	Fitness Melhor : 1000	
Geração : 203	Fitness : -67.35	Fitness Melhor : 1000	
Geração : 204	Fitness : -233.16	Fitness Melhor : 1000	
Geração : 205	Fitness : -54.98	Fitness Melhor : 1000	
Geração : 206	Fitness : -44.58	Fitness Melhor : 1000	
Geração : 207	Fitness : 21.79	Fitness Melhor : 1000	
Geração : 208	Fitness : 47.94	Fitness Melhor : 1000	
Geração : 209	Fitness : -174.33	Fitness Melhor : 1000	
Geração : 210	Fitness : -93.04	Fitness Melhor : 1000	
Geração : 211	Fitness : 11.29	Fitness Melhor : 1000	
Geração : 212	Fitness : -308.02	Fitness Melhor : 1000	
Geração : 213	Fitness : 56.58	Fitness Melhor : 1000	
Geração : 214	Fitness : 7.43	Fitness Melhor : 1000	
Geração : 215	Fitness : -46.12	Fitness Melhor : 1000	
Geração : 216	Fitness : -111.11	Fitness Melhor : 1000	
Geração : 217	Fitness : 6.13	Fitness Melhor : 1000	
Geração : 218	Fitness : -29.13	Fitness Melhor : 1000	
Geração : 219	Fitness : -62.49	Fitness Melhor : 1000	
Geração : 220	Fitness : 3.57	Fitness Melhor : 1000	
Geração : 221	Fitness : -25.4	Fitness Melhor : 1000	
Geração : 222	Fitness : 71.9	Fitness Melhor : 1000	
Geração : 223	Fitness : -22.5	Fitness Melhor : 1000	
Geração : 224	Fitness : 8.72	Fitness Melhor : 1000	
Geração : 225	Fitness : -121.73	Fitness Melhor : 1000	
Geração : 226	Fitness : -105.07	Fitness Melhor : 1000	
Geração : 227	Fitness : 22.94	Fitness Melhor : 1000	
Geração : 228	Fitness : 38.75	Fitness Melhor : 1000	
Geração : 229	Fitness : -33.36	Fitness Melhor : 1000	
Geração : 230	Fitness : 11.78	Fitness Melhor : 1000	
Geração : 231	Fitness : -143.77	Fitness Melhor : 1000	
Geração : 232	Fitness : -162.92	Fitness Melhor : 1000	
Geração : 233	Fitness : -142.01	Fitness Melhor : 1000	
Geração : 234	Fitness : -82.19	Fitness Melhor : 1000	
Geração : 235	Fitness : -68.64	Fitness Melhor : 1000	
Geração : 236	Fitness : -169.23	Fitness Melhor : 1000	
Geração : 237	Fitness : -64.76	Fitness Melhor : 1000	
Geração : 238	Fitness : -328.66	Fitness Melhor : 1000	
Geração : 239	Fitness : -15.92	Fitness Melhor : 1000	
Geração : 240	Fitness : 49.95	Fitness Melhor : 1000	
Geração : 241	Fitness : -23.15	Fitness Melhor : 1000	
Geração : 242	Fitness : -160.36	Fitness Melhor : 1000	
Geração : 243	Fitness : -31.21	Fitness Melhor : 1000	
Geração : 244	Fitness : -81.02	Fitness Melhor : 1000	
Geração : 245	Fitness : 71.62	Fitness Melhor : 1000	
Geração : 246	Fitness : -216.78	Fitness Melhor : 1000	
Geração : 247	Fitness : -21.53	Fitness Melhor : 1000	
Geração : 248	Fitness : -82.19	Fitness Melhor : 1000	
Geração : 249	Fitness : -69.66	Fitness Melhor : 1000	
Geração : 250	Fitness : -47.07	Fitness Melhor : 1000	
Geração : 251	Fitness : 21.1	Fitness Melhor : 1000	
Geração : 252	Fitness : -95.04	Fitness Melhor : 1000	
Geração : 253	Fitness : 18.22	Fitness Melhor : 1000	
Geração : 254	Fitness : -53.69	Fitness Melhor : 1000	
Geração : 255	Fitness : -19.22	Fitness Melhor : 1000	
Geração : 256	Fitness : -122.7	Fitness Melhor : 1000	
Geração : 257	Fitness : -50.47	Fitness Melhor : 1000	
Geração : 258	Fitness : -141.93	Fitness Melhor : 1000	
Geração : 259	Fitness : 22.2	Fitness Melhor : 1000	
Geração : 260	Fitness : -40.58	Fitness Melhor : 1000	
Geração : 261	Fitness : -41.67	Fitness Melhor : 1000	
Geração : 262	Fitness : -4.48	Fitness Melhor : 1000	
Geração : 263	Fitness : -41.81	Fitness Melhor : 1000	
Geração : 264	Fitness : -50.62	Fitness Melhor : 1000	
Geração : 265	Fitness : 21.15	Fitness Melhor : 1000	
Geração : 266	Fitness : -49.0	Fitness Melhor : 1000	
Geração : 267	Fitness : -103.98	Fitness Melhor : 1000	
Geração : 268	Fitness : -169.52	Fitness Melhor : 1000	
Geração : 269	Fitness : -251.52	Fitness Melhor : 1000	
Geração : 270	Fitness : -165.05	Fitness Melhor : 1000	
Geração : 271	Fitness : -178.98	Fitness Melhor : 1000	
