

Labirinto 2
###############
#I--#---#-----#
#-------#--####
###-----#-----#
#F------#-----#
######--#-----#
#---------#---#
#------#--#---#
#------#--#---#
###############

Solução do Labirinto 2
############### 
#o--#---#-----# 
#ooo----#--#### 
###o----#-----# 
#ooo----#-----# 
######--#-----# 
#---------#---# 
#------#--#---# 
#------#--#---# 
############### 

Geração : 99	Fitness : -352.02	Fitness Melhor : 1000	
Geração : 100	Fitness : -288.33	Fitness Melhor : 1000	
Geração : 101	Fitness : -247.92	Fitness Melhor : 1000	
Geração : 102	Fitness : -282.13	Fitness Melhor : 1000	
Geração : 103	Fitness : -306.06	Fitness Melhor : 1000	
Geração : 104	Fitness : -370.38	Fitness Melhor : 1000	
Geração : 105	Fitness : -542.42	Fitness Melhor : 1000	
Geração : 106	Fitness : -339.43	Fitness Melhor : 1000	
Geração : 107	Fitness : -230.8	Fitness Melhor : 1000	
Geração : 108	Fitness : -117.44	Fitness Melhor : 1000	
Geração : 109	Fitness : -228.63	Fitness Melhor : 1000	
Geração : 110	Fitness : -256.44	Fitness Melhor : 1000	
Geração : 111	Fitness : -480.69	Fitness Melhor : 1000	
Geração : 112	Fitness : -362.58	Fitness Melhor : 1000	
Geração : 113	Fitness : -185.71	Fitness Melhor : 1000	
Geração : 114	Fitness : -326.56	Fitness Melhor : 1000	
Geração : 115	Fitness : -473.37	Fitness Melhor : 1000	
Geração : 116	Fitness : -583.64	Fitness Melhor : 1000	
Geração : 117	Fitness : -296.32	Fitness Melhor : 1000	
Geração : 118	Fitness : -330.15	Fitness Melhor : 1000	
Geração : 119	Fitness : -705.41	Fitness Melhor : 1000	
Geração : 120	Fitness : -307.24	Fitness Melhor : 1000	
Geração : 121	Fitness : -488.37	Fitness Melhor : 1000	
Geração : 122	Fitness : -218.14	Fitness Melhor : 1000	
Geração : 123	Fitness : -325.99	Fitness Melhor : 1000	
Geração : 124	Fitness : -344.53	Fitness Melhor : 1000	
Geração : 125	Fitness : -494.44	Fitness Melhor : 1000	
Geração : 126	Fitness : -158.67	Fitness Melhor : 1000	
Geração : 127	Fitness : -313.21	Fitness Melhor : 1000	
Geração : 128	Fitness : -184.48	Fitness Melhor : 1000	
Geração : 129	Fitness : -422.49	Fitness Melhor : 1000	
Geração : 130	Fitness : -437.22	Fitness Melhor : 1000	
Geração : 131	Fitness : -373.63	Fitness Melhor : 1000	
Geração : 132	Fitness : -295.9	Fitness Melhor : 1000	
Geração : 133	Fitness : -144.33	Fitness Melhor : 1000	
Geração : 134	Fitness : -244.49	Fitness Melhor : 1000	
Geração : 135	Fitness : -404.79	Fitness Melhor : 1000	
Geração : 136	Fitness : -244.2	Fitness Melhor : 1000	
Geração : 137	Fitness : -310.22	Fitness Melhor : 1000	
Geração : 138	Fitness : -282.24	Fitness Melhor : 1000	
Geração : 139	Fitness : -484.13	Fitness Melhor : 1000	
Geração : 140	Fitness : -432.81	Fitness Melhor : 1000	
Geração : 141	Fitness : -392.4	Fitness Melhor : 1000	
Geração : 142	Fitness : -306.18	Fitness Melhor : 1000	
Geração : 143	Fitness : -397.82	Fitness Melhor : 1000	
Geração : 144	Fitness : -164.53	Fitness Melhor : 1000	
Geração : 145	Fitness : -237.15	Fitness Melhor : 1000	
Geração : 146	Fitness : -484.01	Fitness Melhor : 1000	
Geração : 147	Fitness : -297.79	Fitness Melhor : 1000	
Geração : 148	Fitness : -352.15	Fitness Melhor : 1000	
Geração : 149	Fitness : -473.08	Fitness Melhor : 1000	
Geração : 150	Fitness : -238.72	Fitness Melhor : 1000	
Geração : 151	Fitness : -401.0	Fitness Melhor : 1000	
Geração : 152	Fitness : -303.8	Fitness Melhor : 1000	
Geração : 153	Fitness : -179.44	Fitness Melhor : 1000	
Geração : 154	Fitness : -442.49	Fitness Melhor : 1000	
Geração : 155	Fitness : -228.04	Fitness Melhor : 1000	
Geração : 156	Fitness : -395.88	Fitness Melhor : 1000	
Geração : 157	Fitness : -304.08	Fitness Melhor : 1000	
Geração : 158	Fitness : -388.99	Fitness Melhor : 1000	
Geração : 159	Fitness : -390.09	Fitness Melhor : 1000	
Geração : 160	Fitness : -426.79	Fitness Melhor : 1000	
Geração : 161	Fitness : -155.7	Fitness Melhor : 1000	
Geração : 162	Fitness : -337.62	Fitness Melhor : 1000	
Geração : 163	Fitness : -300.19	Fitness Melhor : 1000	
Geração : 164	Fitness : -474.56	Fitness Melhor : 1000	
Geração : 165	Fitness : -172.99	Fitness Melhor : 1000	
Geração : 166	Fitness : -216.32	Fitness Melhor : 1000	
Geração : 167	Fitness : -206.19	Fitness Melhor : 1000	
Geração : 168	Fitness : -139.05	Fitness Melhor : 1000	
Geração : 169	Fitness : -214.73	Fitness Melhor : 1000	
Geração : 170	Fitness : -351.88	Fitness Melhor : 1000	
Geração : 171	Fitness : -347.18	Fitness Melhor : 1000	
Geração : 172	Fitness : -270.38	Fitness Melhor : 1000	
Geração : 173	Fitness : -478.1	Fitness Melhor : 1000	
Geração : 174	Fitness : -215.82	Fitness Melhor : 1000	
Geração : 175	Fitness : -286.05	Fitness Melhor : 1000	
Geração : 176	Fitness : -464.43	Fitness Melhor : 1000	
Geração : 177	Fitness : -161.22	Fitness Melhor : 1000	
Geração : 178	Fitness : -352.98	Fitness Melhor : 1000	
Geração : 179	Fitness : -204.25	Fitness Melhor : 1000	
Geração : 180	Fitness : -304.24	Fitness Melhor : 1000	
Geração : 181	Fitness : -286.27	Fitness Melhor : 1000	
Geração : 182	Fitness : -442.76	Fitness Melhor : 1000	
Geração : 183	Fitness : -311.96	Fitness Melhor : 1000	
Geração : 184	Fitness : -291.07	Fitness Melhor : 1000	
Geração : 185	Fitness : -148.84	Fitness Melhor : 1000	
Geração : 186	Fitness : -282.36	Fitness Melhor : 1000	
Geração : 187	Fitness : -372.33	Fitness Melhor : 1000	
Geração : 188	Fitness : -306.48	Fitness Melhor : 1000	
Geração : 189	Fitness : -244.73	Fitness Melhor : 1000	
Geração : 190	Fitness : -365.42	Fitness Melhor : 1000	
Geração : 191	Fitness : -380.28	Fitness Melhor : 1000	
Geração : 192	Fitness : -409.65	Fitness Melhor : 1000	
Geração : 193	Fitness : -401.12	Fitness Melhor : 1000	
Geração : 194	Fitness : -304.24	Fitness Melhor : 1000	
Geração : 195	Fitness : -308.59	Fitness Melhor : 1000	
Geração : 196	Fitness : -266.55	Fitness Melhor : 1000	
Geração : 197	Fitness : -302.7	Fitness Melhor : 1000	
Geração : 198	Fitness : -486.46	Fitness Melhor : 1000	
Geração : 199	Fitness : -248.78	Fitness Melhor : 1000	
Geração : 200	Fitness : -186.71	Fitness Melhor : 1000	
Geração : 201	Fitness : -340.18	Fitness Melhor : 1000	
Geração : 202	Fitness : -284.68	Fitness Melhor : 1000	
Geração : 203	Fitness : -258.72	Fitness Melhor : 1000	
Geração : 204	Fitness : -218.64	Fitness Melhor : 1000	
Geração : 205	Fitness : -340.13	Fitness Melhor : 1000	
Geração : 206	Fitness : -216.9	Fitness Melhor : 1000	
Geração : 207	Fitness : -306.35	Fitness Melhor : 1000	
Geração : 208	Fitness : -449.64	Fitness Melhor : 1000	
Geração : 209	Fitness : -320.66	Fitness Melhor : 1000	
Geração : 210	Fitness : -256.68	Fitness Melhor : 1000	
Geração : 211	Fitness : -352.81	Fitness Melhor : 1000	
Geração : 212	Fitness : -530.73	Fitness Melhor : 1000	
Geração : 213	Fitness : -311.02	Fitness Melhor : 1000	
Geração : 214	Fitness : -455.42	Fitness Melhor : 1000	
Geração : 215	Fitness : -138.64	Fitness Melhor : 1000	
Geração : 216	Fitness : -444.98	Fitness Melhor : 1000	
Geração : 217	Fitness : -432.22	Fitness Melhor : 1000	
Geração : 218	Fitness : -245.49	Fitness Melhor : 1000	
Geração : 219	Fitness : -398.34	Fitness Melhor : 1000	
Geração : 220	Fitness : -320.89	Fitness Melhor : 1000	
Geração : 221	Fitness : -354.65	Fitness Melhor : 1000	
Geração : 222	Fitness : -254.93	Fitness Melhor : 1000	
Geração : 223	Fitness : -375.79	Fitness Melhor : 1000	
Geração : 224	Fitness : -564.68	Fitness Melhor : 1000	
Geração : 225	Fitness : -189.74	Fitness Melhor : 1000	
Geração : 226	Fitness : -481.71	Fitness Melhor : 1000	
Geração : 227	Fitness : -275.04	Fitness Melhor : 1000	
Geração : 228	Fitness : -542.16	Fitness Melhor : 1000	
Geração : 229	Fitness : -91.13	Fitness Melhor : 1000	
Geração : 230	Fitness : -227.52	Fitness Melhor : 1000	
Geração : 231	Fitness : -442.5	Fitness Melhor : 1000	
Geração : 232	Fitness : -166.92	Fitness Melhor : 1000	
Geração : 233	Fitness : -158.78	Fitness Melhor : 1000	
Geração : 234	Fitness : -473.67	Fitness Melhor : 1000	
Geração : 235	Fitness : -343.23	Fitness Melhor : 1000	
Geração : 236	Fitness : -219.25	Fitness Melhor : 1000	
Geração : 237	Fitness : -238.4	Fitness Melhor : 1000	
Geração : 238	Fitness : -337.74	Fitness Melhor : 1000	
Geração : 239	Fitness : -388.33	Fitness Melhor : 1000	
Geração : 240	Fitness : -350.29	Fitness Melhor : 1000	
Geração : 241	Fitness : -261.21	Fitness Melhor : 1000	
Geração : 242	Fitness : -457.71	Fitness Melhor : 1000	
Geração : 243	Fitness : -459.91	Fitness Melhor : 1000	
Geração : 244	Fitness : -476.13	Fitness Melhor : 1000	
Geração : 245	Fitness : -256.4	Fitness Melhor : 1000	
Geração : 246	Fitness : -410.05	Fitness Melhor : 1000	
Geração : 247	Fitness : -328.61	Fitness Melhor : 1000	
Geração : 248	Fitness : -359.32	Fitness Melhor : 1000	
Geração : 249	Fitness : -214.95	Fitness Melhor : 1000	
