Geração : 103	Fitness : -13.47	Fitness Melhor : 1000	
Geração : 104	Fitness : -115.34	Fitness Melhor : 1000	
Geração : 105	Fitness : -104.43	Fitness Melhor : 1000	
Geração : 106	Fitness : -140.35	Fitness Melhor : 1000	
Geração : 107	Fitness : -103.15	Fitness Melhor : 1000	
Geração : 108	Fitness : -207.24	Fitness Melhor : 1000	
Geração : 109	Fitness : -165.21	Fitness Melhor : 1000	
Geração : 110	Fitness : -21.37	Fitness Melhor : 1000	
Geração : 111	Fitness : -118.78	Fitness Melhor : 1000	
Geração : 112	Fitness : -134.11	Fitness Melhor : 1000	
Geração : 113	Fitness : -273.56	Fitness Melhor : 1000	
Geração : 114	Fitness : -109.72	Fitness Melhor : 1000	
Geração : 115	Fitness : -113.74	Fitness Melhor : 1000	
Geração : 116	Fitness : -186.66	Fitness Melhor : 1000	
Geração : 117	Fitness : -222.09	Fitness Melhor : 1000	
Geração : 118	Fitness : -260.95	Fitness Melhor : 1000	
Geração : 119	Fitness : -81.35	Fitness Melhor : 1000	
Geração : 120	Fitness : 39.6	Fitness Melhor : 1000	
Geração : 121	Fitness : -64.63	Fitness Melhor : 1000	
Geração : 122	Fitness : -281.29	Fitness Melhor : 1000	
Geração : 123	Fitness : -200.98	Fitness Melhor : 1000	
Geração : 124	Fitness : -6.76	Fitness Melhor : 1000	
Geração : 125	Fitness : -136.81	Fitness Melhor : 1000	
Geração : 126	Fitness : -80.05	Fitness Melhor : 1000	
Geração : 127	Fitness : -116.9	Fitness Melhor : 1000	
Geração : 128	Fitness : -119.11	Fitness Melhor : 1000	
Geração : 129	Fitness : -130.99	Fitness Melhor : 1000	
Geração : 130	Fitness : 23.56	Fitness Melhor : 1000	
Geração : 131	Fitness : -30.03	Fitness Melhor : 1000	
Geração : 132	Fitness : -57.49	Fitness Melhor : 1000	
Geração : 133	Fitness : -169.41	Fitness Melhor : 1000	
Geração : 134	Fitness : -7.11	Fitness Melhor : 1000	
Geração : 135	Fitness : -213.38	Fitness Melhor : 1000	
Geração : 136	Fitness : -64.33	Fitness Melhor : 1000	
Geração : 137	Fitness : 11.3	Fitness Melhor : 1000	
Geração : 138	Fitness : -88.82	Fitness Melhor : 1000	
Geração : 139	Fitness : -167.19	Fitness Melhor : 1000	
Geração : 140	Fitness : -248.22	Fitness Melhor : 1000	
Geração : 141	Fitness : -102.27	Fitness Melhor : 1000	
Geração : 142	Fitness : -19.78	Fitness Melhor : 1000	
Geração : 143	Fitness : -97.99	Fitness Melhor : 1000	
Geração : 144	Fitness : -165.28	Fitness Melhor : 1000	
Geração : 145	Fitness : -33.39	Fitness Melhor : 1000	
Geração : 146	Fitness : -74.82	Fitness Melhor : 1000	
Geração : 147	Fitness : -76.2	Fitness Melhor : 1000	
